Species,X,Y,NLCD52P,warm
background,2299207,9750368,1.467591,0.0
background,2299208,9754630,0.0,0.0
background,2299209,9754782,0.0,0.0
background,2299210,9751990,0.315457,0.0
background,2299211,9753898,7.35311,37.74696592606054
background,2299212,9753514,0.852916,100.0
background,2299213,9752940,6.297796,22.3860211282474
background,2299214,9754900,0.0,0.0
background,2299215,9753388,10.505837,100.0
background,2299216,9755242,0.0,0.0
background,2299217,9752964,1.49635,0.0
background,2299218,9753610,10.247748,100.0
background,2299219,9752398,15.731195,0.0
background,2299220,9753848,0.391389,21.81748395528315
background,2299221,9753846,11.959739,12.388438979944652
background,2299222,9752950,11.904762,0.0
background,2299223,9754922,0.457928,0.0
background,2299224,9750484,4.37613,0.0
background,2299225,9753010,7.438017,0.0
background,2299226,9754858,0.36051,0.0
background,2299227,9753306,5.130687,100.0
background,2299228,9751352,0.0,0.0
background,2299229,9754848,0.0,0.0
background,2299232,9750256,0.212816,0.0
background,2299233,9754704,4.782821,0.0
background,2299234,9753042,3.10323,100.0
background,2299235,9753002,0.0,0.0
background,2299236,9754318,0.0,1.7381362926310033
background,2299237,9754686,0.0,0.0
background,2299238,9752494,23.666039,0.0
background,2299239,9754912,10.013831,100.0
background,2299240,9754872,0.630915,0.0
background,2299241,9752192,4.366167,0.0
background,2299242,9754804,0.0,0.0
background,2299243,9752776,3.609023,36.901700588267545
background,2299244,9755522,3.375068,100.0
background,2299245,9752370,5.05618,0.0
background,2299246,9752596,5.732616,0.0
background,2299248,9755030,0.0,0.0
background,2299249,9753480,6.684595,100.0
background,2299250,9753214,14.545455,100.0
background,2299251,9754632,0.0,0.0
background,2299252,9753006,2.674672,8.308392018816466
background,2299253,9753450,1.55642,100.0
background,2299254,9754716,0.894454,0.0
background,2299255,9754740,0.0,0.0
background,2299256,9754628,0.0,0.0
background,2299257,9753814,11.201898,0.0
background,2299258,9750294,1.609409,0.0
background,2299259,9754914,0.200334,0.0
background,2299260,9752618,0.0,0.0
background,2299261,9753024,1.675978,100.0
background,2299262,9751732,0.074822,0.0
background,2299263,9753660,14.302365,100.0
background,2299264,9753914,4.38293,100.0
background,2299265,9752504,6.60793,0.0
background,2299266,9752524,8.741259,0.0
background,2299267,9751908,17.857143,0.0
background,2299268,9752490,12.187959,0.0
background,2299269,9754920,0.0,100.0
background,2299270,9752180,3.757721,0.0
background,2299271,9752390,1.330604,100.0
background,2299272,9753380,0.4,100.0
background,2299273,9754860,0.0,0.0
background,2299274,9751850,0.0,0.0
background,2299275,9753070,14.509083,78.87949887964002
background,2299276,9752142,0.0,0.0
background,2299277,9752798,7.834603,0.0
background,2299278,9754776,2.227171,0.0
background,2299279,9754924,0.0,0.0
background,2299280,9752298,5.706522,0.0
background,2299281,9753806,6.798531,0.0
background,2299282,9752632,5.787889,0.0
background,2299283,9754542,4.347826,0.0
background,2299284,9752396,12.5,100.0
background,2299285,9756868,2.076734,100.0
background,2299286,9754958,0.0,0.0
background,2299287,9754748,3.584906,0.0
background,2299288,9750326,2.146733,0.0
background,2299289,9756524,1.95572,100.0
background,2299290,9754578,2.786378,0.0
background,2299291,9754794,1.517241,0.0
background,2299292,9753762,0.0,0.0
background,2299293,9751542,0.860621,0.0
background,2299294,9755066,0.0,0.0
background,2299295,9753218,5.705706,100.0
background,2299296,9752488,20.0,0.0
background,2299297,9754270,10.244845,100.0
background,2299298,9751594,1.77482,0.0
background,2299299,9752174,2.516427,0.0
background,2299300,9752246,10.453086,0.0
background,2299301,9755164,0.349744,0.0
background,2299302,9751862,0.0,0.0
background,2299303,9750388,0.0,0.0
background,2299304,9755508,4.87653,100.0
background,2299305,9755062,0.794597,0.0
background,2299306,9752812,1.801596,12.799910090371444
background,2299307,9753234,18.75,100.0
background,2299308,9755196,2.491874,0.0
background,2299309,9752100,0.214592,0.0
background,2299310,9754944,2.578616,0.0
background,2299311,9754898,0.713903,0.0
background,2299312,9751556,0.0,0.0
background,2299313,9752054,0.998752,0.0
background,2299314,9755510,0.0,100.0
background,2299315,9752926,26.724138,0.0
background,2299316,9754548,1.042502,0.0
background,2299317,9751744,1.803792,0.0
background,2299318,9754616,0.997596,0.0
background,2299319,9754506,0.0,0.0
background,2299320,9753090,11.353712,100.0
background,2299321,9752278,1.805869,100.0
background,2299322,9750904,0.0,100.0
background,2299323,9753682,1.154957,100.0
background,2299324,9753424,1.594876,100.0
background,2299325,9757002,1.189263,100.0
background,2299326,9753040,0.865266,100.0
background,2299327,9752904,9.54033,100.0
background,2299328,9753066,14.465409,100.0
background,2299329,9755374,0.979955,100.0
background,2299330,9753112,0.0,100.0
background,2299331,9753060,0.804568,100.0
background,2299332,9752014,0.0,0.0
background,2299333,9753074,0.0,100.0
background,2299334,9753160,14.248366,100.0
background,2299335,9752898,2.125421,100.0
background,2299336,9756770,0.532602,0.0
background,2299337,9753734,0.0,100.0
background,2299338,9756628,0.396825,100.0
background,2299339,9754796,0.309702,0.0
background,2299340,9755358,1.072922,100.0
background,2299341,9757014,0.0,0.0
background,2299342,9753664,0.0,100.0
background,2299343,9756662,0.223623,100.0
background,2299344,9750288,0.283798,0.0
background,2299345,9753032,7.305773,100.0
background,2299346,9755450,0.0,100.0
background,2299347,9756676,0.0,100.0
background,2299348,9752918,0.0,100.0
background,2299349,9756866,0.0,100.0
background,2299350,9753130,1.025641,100.0
background,2299351,9752960,3.629417,100.0
background,2299352,9753216,3.790087,100.0
background,2299353,9754814,4.887218,0.0
background,2299354,9754854,0.0,0.0
background,2299355,9752692,0.769231,100.0
background,2299356,9751446,0.0,0.0
background,2299357,9753038,2.12766,100.0
background,2299358,9752614,5.325444,100.0
background,2299359,9753372,0.999722,100.0
background,2299360,9753634,3.066955,100.0
background,2299361,9750930,0.0,100.0
background,2299362,9754608,0.0,0.0
background,2299363,9752946,5.490196,100.0
background,2299364,9753892,3.502429,100.0
background,2299365,9753284,6.855025,100.0
background,2299366,9756714,2.016413,0.0
background,2299367,9750478,0.0,0.0
background,2299368,9756586,1.76444,100.0
background,2299369,9753204,4.400403,100.0
background,2299370,9752270,2.221215,100.0
background,2299371,9755050,2.131439,0.0
background,2299372,9751550,0.805604,0.0
background,2299373,9753696,4.680682,100.0
background,2299374,9756648,0.352032,100.0
background,2299375,9752854,8.740895,100.0
background,2299376,9756696,0.0,100.0
background,2299377,9750968,8.971554,100.0
background,2299378,9756706,0.833594,100.0
background,2299379,9751160,1.769912,100.0
background,2299380,9756540,2.575423,100.0
background,2299381,9756594,3.751007,100.0
background,2299382,9752998,0.0,100.0
background,2299383,9756776,2.42113,0.0
background,2299384,9752954,0.775528,100.0
background,2299385,9753878,3.370014,100.0
background,2299386,9752092,0.0,100.0
background,2299387,9753908,3.210143,100.0
background,2299388,9754928,0.0,0.0
background,2299389,9753278,5.837563,100.0
background,2299390,9751518,4.573548,0.0
background,2299391,9754626,0.0,0.0
background,2299392,9756614,0.320563,100.0
background,2299393,9751500,10.526316,0.0
background,2299394,9753808,2.323635,100.0
background,2299395,9756664,1.724138,100.0
background,2299396,9750530,0.0,0.0
background,2299397,9752532,0.0,100.0
background,2299398,9753398,3.035642,100.0
background,2299399,9753694,2.485314,100.0
background,2299400,9752084,7.521687,100.0
background,2299401,9754536,0.645161,0.0
background,2299402,9752236,1.860786,100.0
background,2299403,9753706,8.853354,100.0
background,2299404,9753728,5.147059,100.0
background,2299405,9751548,7.020202,100.0
background,2299406,9756652,1.154692,100.0
background,2299407,9751410,0.0,0.0
background,2299408,9753712,0.738809,100.0
background,2299409,9752568,3.808864,100.0
background,2299410,9752126,2.390313,100.0
background,2299411,9753718,1.41844,100.0
background,2299412,9753722,3.108808,100.0
background,2299413,9756720,1.135806,100.0
background,2299414,9756722,6.970509,0.0
background,2299415,9752790,1.507128,100.0
background,2299416,9756668,2.125809,100.0
background,2299417,9756694,0.142908,100.0
background,2299418,9752822,15.694528,100.0
background,2299419,9751664,16.326531,100.0
background,2299420,9752032,4.640754,100.0
background,2299421,9754662,0.0,0.0
background,2299422,9750638,0.970874,0.0
background,2299423,9752226,4.20712,100.0
background,2299424,9756830,0.711801,100.0
background,2299425,9753064,0.0,0.0
background,2299426,9754718,1.852854,0.0
background,2299427,9750476,0.130822,0.0
background,2299428,9756590,4.62963,100.0
background,2299429,9753194,0.0,100.0
background,2299430,9751662,14.393939,100.0
background,2299431,9756550,1.361611,100.0
background,2299432,9752972,2.613667,100.0
background,2299433,9756874,0.0,100.0
background,2299434,9756532,3.052091,100.0
background,2299435,9753354,4.366129,100.0
background,2299436,9755192,0.027306,0.0
background,2299437,9751568,0.32175,0.0
background,2299438,9754286,4.52099,100.0
background,2299439,9756520,3.514938,100.0
background,2299440,9754260,10.025707,100.0
background,2299441,9751580,4.699248,100.0
background,2299442,9754592,1.434426,0.0
background,2299443,9753208,2.189781,100.0
background,2299444,9756562,2.982216,100.0
background,2299445,9753502,11.951109,100.0
background,2299446,9752552,1.838283,100.0
background,2299447,9753226,5.743243,100.0
background,2299448,9756894,0.0,100.0
background,2299449,9751434,3.360768,0.0
background,2299451,9752624,0.0,100.0
background,2299452,9753242,2.571883,100.0
background,2299453,9753486,9.309309,100.0
background,2299454,9750352,0.0,0.0
background,2299455,9750314,0.0,0.0
background,2299456,9756782,1.449669,0.0
background,2299457,9752360,4.837364,0.0
background,2299458,9756728,0.752475,0.0
background,2299459,9753072,3.969194,100.0
background,2299460,9753052,6.281141,100.0
background,2299461,9752080,10.519352,100.0
background,2299462,9752984,1.748252,100.0
background,2299463,9752978,6.25,100.0
background,2299464,9755506,3.413655,100.0
background,2299465,9755364,0.260887,100.0
background,2299466,9756528,2.541106,100.0
background,2299467,9753764,6.736527,100.0
background,2299468,9755174,0.0,0.0
background,2299469,9751602,6.758757,100.0
background,2299470,9750568,2.652138,100.0
background,2299471,9756598,1.801802,100.0
background,2299472,9755020,0.0,0.0
background,2299473,9752386,7.018747,100.0
background,2299474,9752302,0.0,100.0
background,2299475,9752804,1.979265,100.0
background,2299476,9756836,0.112758,100.0
background,2299477,9751836,10.21822,100.0
background,2299478,9753446,7.011893,100.0
background,2299479,9755060,0.540541,0.0
background,2299480,9753828,2.757229,0.0
background,2299481,9753270,2.409639,100.0
background,2299482,9756766,0.174948,0.0
background,2299483,9750408,0.0,0.0
background,2299484,9754926,1.797693,0.0
background,2299485,9753170,12.267442,100.0
background,2299486,9755038,0.0,0.0
background,2299487,9753274,2.5442,100.0
background,2299488,9751438,1.44617,0.0
background,2299489,9756704,0.547314,100.0
background,2299490,9753560,3.763441,100.0
background,2299491,9754620,0.0,0.0
background,2299492,9753078,0.0,100.0
background,2299493,9753084,8.542714,100.0
background,2299494,9754546,0.0,0.0
background,2299495,9754750,0.0,0.0
background,2299496,9756634,2.037928,100.0
background,2299497,9751534,2.590772,100.0
background,2299498,9752372,5.708885,100.0
background,2299499,9753080,1.228501,100.0
background,2299500,9756762,2.43299,0.0
background,2299501,9756612,0.0,100.0
background,2299502,9753912,6.245368,100.0
background,2299503,9753176,7.954545,100.0
background,2299504,9753250,15.140845,100.0
background,2299505,9752916,0.676915,100.0
background,2299506,9751994,0.0,100.0
background,2299507,9752802,1.318013,100.0
background,2299508,9754582,2.226721,0.0
background,2299509,9751452,3.008424,100.0
background,2299510,9756568,4.226751,100.0
background,2299511,9756780,30.612245,0.0
background,2299512,9751792,3.125,100.0
background,2299513,9751818,6.33318,100.0
background,2299514,9756546,1.19592,100.0
background,2299515,9756564,2.089286,100.0
background,2299516,9756576,1.112235,100.0
background,2299517,9756754,3.36949,0.0
background,2299518,9753662,2.075612,100.0
background,2299519,9753710,5.280162,100.0
background,2299520,9753690,1.456311,100.0
background,2299521,9751510,1.198793,100.0
