X,Y,Test or train,Raw prediction,Cumulative prediction,Logistic prediction
2299885.0,9755202.0,train,5.39030047510275E-4,35.577040731141715,0.43555985934729213
2299967.0,9753896.0,train,0.0034940037524528464,95.02596077287075,0.8333878031938885
2299998.0,9750274.0,train,2.3477019996120417E-4,16.901196361143217,0.25154931651091905
2300081.0,9751856.0,train,1.48088368315173E-4,10.079781904252258,0.1749181794629956
2300092.0,9750282.0,train,7.45918659376871E-4,44.78493641387157,0.5164048948232922
2300235.0,9752876.0,train,8.962536173958382E-4,51.25987314603414,0.5619918942095162
2300240.0,9752872.0,train,9.992572944972728E-4,55.07327881501284,0.5885656193479193
2300245.0,9754830.0,train,1.6964558756111565E-4,11.716093372558994,0.19540543727829068
2300248.0,9750296.0,train,0.001236394515074631,64.32676784275586,0.6389895870948357
2300298.0,9753824.0,train,9.76330125823421E-5,6.356981836650896,0.12262993182862669
2300482.0,9752880.0,train,0.0036906925148301206,96.48926999493672,0.8408539936718341
2300535.0,9753414.0,train,1.1522624991209395E-4,7.620451746966135,0.14159856307644306
2300918.0,9755434.0,train,0.0013766855904226662,69.05421358485324,0.6633950606999169
2301000.0,9752678.0,train,0.002400021265308244,87.42922246637423,0.7745632095887728
2301026.0,9755452.0,train,9.92323049062036E-4,54.90866132824951,0.5868783097808916
2301131.0,9745324.0,train,3.9564947508296394E-4,27.76040599820873,0.36159576515076697
2301183.0,9745122.0,train,4.3462622769978055E-4,30.04904705781001,0.38355478152847017
2301185.0,9745414.0,train,1.1487470613301331E-4,7.58161666064096,0.14122757074856526
2301266.0,9755460.0,train,9.642375563641332E-4,53.7956981754423,0.5799003355458774
2301373.0,9745418.0,train,0.001251738078865813,64.82378012780889,0.6418298097812744
2301416.0,9745206.0,train,0.0010728179800170872,57.979721519992296,0.6056517320886954
2301419.0,9747286.0,train,2.1650002002971395E-4,15.398177916091877,0.23660513160462723
2301429.0,9747264.0,train,0.0020629712248774177,80.94285393206881,0.7470478968501043
2301434.0,9747180.0,train,0.0010042778038377971,55.31384988459175,0.5897786829342119
2301481.0,9745886.0,train,0.0011919886691025285,62.427441927208555,0.6305099032151668
2301490.0,9745482.0,train,0.0016165553768596145,73.75025593242243,0.6982712991451174
2301499.0,9745926.0,train,1.434321001642089E-4,9.677220358194425,0.17035524579730033
2301500.0,9745740.0,train,3.8740770620135725E-4,27.127819579434114,0.35675055527887195
2301541.0,9745600.0,train,0.0018516475933609239,77.59404632456975,0.7260866798251753
2301589.0,9745202.0,train,0.002512580568870344,87.92397829561051,0.7824654706835512
2301634.0,9747316.0,train,0.0026993896878327863,90.53549101207926,0.7944249861630635
2301670.0,9745524.0,train,3.497460602185338E-4,24.43077677291874,0.3336403176199242
2301673.0,9747274.0,train,0.001403088228424901,69.61085120289015,0.6676238364841702
2301682.0,9745908.0,train,0.002268769010651134,84.39425180875077,0.7645914744455862
2301683.0,9747396.0,train,0.003268908927673564,94.00823089703452,0.8239349609387864
2301687.0,9747200.0,train,2.086230791548818E-4,14.770702670147191,0.229976439948401
2301700.0,9747390.0,train,0.002843606552718381,92.19396203353907,0.8027949095369634
2301701.0,9747310.0,train,0.001384703998173789,69.33091104395017,0.6646906616350139
2301793.0,9747392.0,train,0.0036513143382817755,95.75158436765886,0.8394132790655565
2301844.0,9747324.0,train,0.004244491961460842,98.898331355601,0.8586841853188203
2301891.0,9734048.0,train,7.387264881361428E-4,44.689558389174906,0.513984932348627
2302058.0,9733310.0,train,2.5935597635781503E-4,18.50425235873226,0.27075964508048556
2302115.0,9733818.0,train,6.211588084658652E-4,38.64531256255821,0.4706869928306791
2302136.0,9745286.0,train,0.001194379273006263,62.507678499686094,0.6309765425915544
2302259.0,9731342.0,train,0.0012380562529550505,64.41954382397661,0.6392993619351759
2302277.0,9731504.0,train,0.0010613099130029446,57.43450096297721,0.6030729777696362
2302293.0,9731494.0,train,7.633414416679051E-4,45.461703990702276,0.5221684599035314
2302372.0,9733196.0,train,0.0012153741887669979,63.58955148665208,0.6350246186463088
2302405.0,9736028.0,train,0.0013622850083107423,68.50575092274859,0.6610429258478504
