X,Y,Noturus_insignis logistic values
2299016.0,9751488.0,0.20176418
2299018.0,9751708.0,0.05370371
2299022.0,9751930.0,0.10131337
2299023.0,9752026.0,0.7937848
2299024.0,9751622.0,0.030338783
2299025.0,9752160.0,0.21007633
2299026.0,9752546.0,0.23148197
2299027.0,9750360.0,0.09580382
2299031.0,9755492.0,0.009458462
2299035.0,9751798.0,0.59852535
2299037.0,9752562.0,0.53178215
2299040.0,9756616.0,0.022701543
2299043.0,9751916.0,0.09468241
2299044.0,9751956.0,0.4356987
2299045.0,9752214.0,0.0019327671
2299046.0,9752130.0,0.14556883
2299047.0,9750562.0,0.06596805
2299048.0,9751384.0,0.022057496
2299049.0,9752484.0,0.096901506
2299050.0,9751456.0,0.18763849
2299052.0,9752440.0,0.16572355
2299056.0,9752058.0,0.43697208
2299057.0,9752072.0,0.15952253
2299058.0,9751880.0,0.060994927
2299059.0,9753940.0,0.027433082
2299060.0,9751920.0,0.19654965
2299061.0,9754952.0,0.13799526
2299062.0,9751896.0,0.07097333
2299063.0,9753348.0,0.15127666
